0,5,2
0,631,1
0,1398,4
0,2382,3
1,5,4
1,11,5
1,13,1
1,69,2
1,128,4
1,287,1
1,437,4
1,578,4
1,1453,5
1,1630,1
1,2119,4
1,2243,1
1,2466,4
1,2727,3
3,5,5
3,11,4
3,14,5
3,30,3
3,35,4
3,42,1
3,125,4
3,137,2
3,141,3
3,182,1
3,206,4
3,526,5
3,1233,5
3,1422,4
3,1928,2
3,2175,2
3,2206,1
3,2291,2
3,2342,5
3,2535,3
4,25,3
4,46,1
4,101,5
4,688,1
4,819,1
4,849,5
4,958,3
4,1118,2
4,1552,2
4,2219,3
4,2423,4
4,2530,2
4,2802,3
4,2943,1
5,6,2
5,7,1
5,8,2
5,10,4
5,16,1
5,21,1
5,22,2
5,24,1
5,27,4
5,29,1
5,31,4
5,32,4
5,37,2
5,39,3
5,61,2
5,65,5
5,69,1
5,73,1
5,76,2
5,79,4
5,137,4
5,151,2
5,155,2
5,160,5
5,170,3
5,180,3
5,182,2
5,184,3
5,186,3
5,187,2
5,200,1
5,204,1
5,216,2
5,227,2
5,238,4
5,245,2
5,270,5
5,272,2
5,274,3
5,288,4
5,293,5
5,302,4
5,311,3
5,316,1
5,324,2
5,360,4
5,384,2
5,433,2
5,434,3
5,443,2
5,475,2
5,488,3
5,526,1
5,539,2
5,573,3
5,604,1
5,649,5
5,704,1
5,731,3
5,753,3
5,756,4
5,777,2
5,778,1
5,801,1
5,802,2
5,804,3
5,811,2
5,821,3
5,889,5
5,952,2
5,985,3
5,1003,3
5,1038,2
5,1050,4
5,1089,4
5,1094,4
5,1095,1
5,1112,4
5,1116,2
5,1159,1
5,1191,4
5,1264,4
5,1312,3
5,1342,1
5,1349,2
5,1418,1
5,1454,4
5,1483,1
5,1528,3
5,1620,3
5,1673,4
5,1682,2
5,1696,4
5,1724,4
5,1869,1
5,1932,1
5,1993,3
5,1998,2
5,2027,2
5,2056,3
5,2059,5
5,2148,5
5,2167,3
5,2265,3
5,2297,5
5,2328,2
5,2356,1
5,2361,5
5,2376,4
5,2444,4
5,2500,3
5,2559,5
5,2642,3
5,2643,1
5,2668,3
5,2741,1
5,2830,3
5,2890,3
5,2939,3
6,42,5
6,287,1
6,473,3
6,1348,3
6,1497,3
6,1639,2
6,2289,3
6,2520,4
6,2619,4
7,13,2
7,14,2
7,35,2
7,69,3
7,96,4
7,253,5
7,437,5
7,730,1
7,2289,1
7,2729,1
7,2917,1
8,13,5
8,44,3
8,375,4
8,2995,3
9,11,4
9,353,3
9,1077,1
9,1512,5
10,25,4
10,161,4
10,303,5
10,730,3
10,734,4
10,1341,1
