1,7,1
1,275,4
3,438,2
3,482,1
3,806,3
3,1583,1
3,2541,3
4,7,1
4,214,1
4,996,2
5,7,1
5,76,2
6,275,4
6,737,2
6,943,1
6,2526,3
7,9,4
7,13,2
7,14,2
7,15,1
7,16,4
7,21,5
7,23,1
7,35,2
7,51,4
7,57,4
7,64,3
7,69,3
7,74,4
7,83,1
7,96,4
7,121,4
7,131,5
7,173,2
7,176,1
7,184,4
7,192,5
7,195,2
7,212,2
7,215,5
7,230,2
7,253,5
7,308,3
7,317,5
7,334,5
7,351,4
7,379,2
7,391,1
7,420,1
7,437,5
7,438,3
7,454,4
7,545,5
7,652,4
7,665,3
7,730,1
7,731,5
7,779,1
7,812,1
7,828,5
7,830,3
7,921,1
7,929,3
7,964,3
7,1073,5
7,1074,3
7,1196,4
7,1302,5
7,1316,5
7,1386,4
7,1440,1
7,1572,3
7,1660,1
7,1789,3
7,1800,1
7,1809,3
7,1838,2
7,1919,3
7,2087,2
7,2170,1
7,2202,5
7,2238,4
7,2289,1
7,2579,3
7,2605,1
7,2654,2
7,2729,1
7,2884,5
7,2913,3
7,2917,1
8,362,1
8,1121,2
9,362,4
10,76,2
12,950,2
12,2129,3
13,1417,3
14,482,3
14,806,3
14,996,1
14,1121,5
19,647,2
23,222,5
24,130,4
25,509,4
25,2665,2
28,1026,5
29,2098,4
30,281,2
31,2984,3
33,509,1
33,809,4
35,2660,3
38,1153,4
42,222,2
44,278,4
49,1174,5
51,950,2
51,1026,2
55,549,3
55,1463,5
56,599,4
57,130,4
57,559,3
57,907,2
60,306,3
60,914,2
63,76,2
64,1219,1
64,1955,4
65,278,4
71,122,2
76,343,5
76,483,1
76,487,1
76,748,4
76,896,4
76,943,3
76,1357,2
76,1592,2
76,1631,2
76,2911,1
77,214,2
79,509,5
80,275,3
85,122,5
85,130,2
85,214,3
87,542,2
92,907,3
94,306,1
94,549,3
103,559,3
103,599,4
107,2837,4
108,379,1
108,549,1
110,2847,4
111,2664,2
112,281,2
114,122,4
122,629,1
122,796,5
122,1302,1
122,1467,2
122,1762,2
122,1834,4
123,2664,5
130,270,1
130,768,3
130,1342,1
130,2546,3
138,542,1
139,1219,3
151,1529,2
166,362,4
166,1153,2
167,419,2
169,806,5
169,1463,2
173,222,2
173,2129,1
177,914,5
179,1013,1
182,306,4
188,281,4
201,914,4
211,2321,5
213,482,5
214,2094,3
222,514,4
222,700,2
222,972,2
222,995,5
222,1242,1
222,1473,2
222,1957,2
222,2437,2
222,2799,3
232,278,3
240,1219,2
275,277,2
275,461,2
275,2440,5
275,2497,5
276,419,3
278,2097,1
278,2644,5
281,871,3
281,1163,2
281,1876,1
291,2665,3
296,379,4
306,369,3
306,456,3
306,1814,4
309,2660,4
323,542,3
323,1904,3
347,907,3
355,1778,2
362,787,1
362,1152,1
362,1441,3
362,1968,2
362,2065,2
367,1529,5
368,559,3
379,1354,2
379,1517,1
379,1739,3
379,2310,3
404,438,3
407,419,2
407,599,3
409,943,4
419,445,1
419,671,5
419,809,3
419,1200,3
419,1239,2
419,1277,4
419,1336,2
419,2072,1
419,2102,3
419,2228,2
419,2507,2
419,2684,4
422,1174,3
426,2321,1
428,1417,3
430,2098,4
432,950,3
437,2847,3
438,452,5
438,472,5
438,1134,2
438,1222,5
438,1283,4
438,1738,2
438,1991,2
438,2685,1
438,2980,3
467,2660,5
479,1356,2
482,886,4
482,1127,3
482,1275,2
482,1431,1
482,1547,2
482,1588,5
482,1700,1
482,1751,3
482,1848,1
482,2106,4
482,2740,5
488,647,5
491,1026,2
491,2534,5
508,737,3
509,537,5
509,725,2
509,798,5
509,1028,1
509,1697,5
509,1709,4
509,2136,5
509,2303,2
509,2434,5
509,2823,4
509,2960,1
517,2200,3
542,1535,1
542,1860,1
542,2046,5
542,2188,3
542,2451,3
546,1778,5
547,647,2
549,962,1
549,2342,1
559,613,5
559,813,3
559,1079,1
559,1292,4
559,1574,4
559,1986,2
559,2356,2
561,1896,4
576,1417,2
594,1583,1
595,1583,1
599,705,1
599,2178,3
600,1013,4
647,723,2
665,996,3
674,737,1
695,809,1
700,2026,5
734,1746,3
737,744,3
737,1016,1
737,1206,1
737,1812,5
737,2634,1
737,2661,2
745,2837,5
758,1955,1
786,1013,2
806,1075,5
806,2543,5
907,1285,2
907,2666,3
914,1539,5
914,1950,4
920,1904,3
937,1153,5
937,1746,5
943,1088,2
949,2098,2
950,1842,4
950,2751,4
952,2710,1
